to_keep,ensembl,gene_name,hgnc_symbol,uniprot
FALSE,ENSG00000071991,CDH19,CDH19,Q96JQ0
TRUE,ENSG00000071991,CDH19,CDH19,Q9H159
TRUE,ENSG00000101542,CDH20,CDH20,Q9HBT6
FALSE,ENSG00000101542,CDH20,CDH20,Q9UN71
TRUE,ENSG00000131233,GJA9,GJA9,P57773
FALSE,ENSG00000131233,GJA9,GJA9,Q9UKL4
FALSE,ENSG00000135355,GJA10,GJA10,P57773
TRUE,ENSG00000135355,GJA10,GJA10,Q969M2
TRUE,ENSG00000171126,KCNG3,KCNG3,Q8TAE7
FALSE,ENSG00000171126,KCNG3,KCNG3,Q8TDN1
TRUE,ENSG00000183668,PSG9,PSG9,Q00887
FALSE,ENSG00000183668,PSG9,PSG9,Q00888
TRUE,ENSG00000186910,SERPINA11,SERPINA11,Q86U17
FALSE,ENSG00000186910,SERPINA11,SERPINA11,Q86WD7
FALSE,ENSG00000203733,GJE1,GJE1,Q8NFK1
TRUE,ENSG00000203733,GJE1,GJE1,A6NN92
FALSE,ENSG00000243130,PSG11,PSG11,Q00887
TRUE,ENSG00000243130,PSG11,PSG11,Q9UQ72
TRUE,ENSG00000274419,TBC1D3D,TBC1D3D,A0A087WVF3
FALSE,ENSG00000274419,TBC1D3D,TBC1D3D,Q6IPX1
FALSE,ENSG00000276085,CCL3L1,CCL3L1,P16619
TRUE,ENSG00000276085,CCL3L1,CCL3L3,P16619
FALSE,ENSG00000277336,CCL3L3,CCL3L3,P16619
TRUE,ENSG00000277336,CCL3L3,CCL3L1,P16619
FALSE,ENSG00000277768,CCL3L3,CCL3L1,P16619
TRUE,ENSG00000277768,CCL3L3,CCL3L3,P16619
TRUE,ENSG00000277796,CCL3L3,CCL3L1,P16619
FALSE,ENSG00000277796,CCL3L3,CCL3L3,P16619
TRUE,ENSG00000278599,TBC1D3E,TBC1D3E,A0A087X179
FALSE,ENSG00000278599,TBC1D3E,TBC1D3E,A6NER0
TRUE,ENSG00000281038,OR8U1,OR8U1,P0C7N5
FALSE,ENSG00000281038,OR8U1,OR8U1,Q8NH10
TRUE,ENSG00000008516,MMP25,MMP25,Q9H239
FALSE,ENSG00000008516,MMP25,MMP25,Q9NPA2
TRUE,ENSG00000008710,PKD1,PKD1,P98161
FALSE,ENSG00000008710,PKD1,PKD1,Q15139
FALSE,ENSG00000023892,DEF6,DEF6,Q01524
TRUE,ENSG00000023892,DEF6,DEF6,Q9H4E7
FALSE,ENSG00000024422,EHD2,EHD2,Q9NZN3
TRUE,ENSG00000024422,EHD2,EHD2,Q9NZN4
TRUE,ENSG00000062038,CDH3,CDH3,P22223
FALSE,ENSG00000062038,CDH3,CDH3,P55291
FALSE,ENSG00000063180,CA11,CA11,Q9NS71
TRUE,ENSG00000063180,CA11,CA11,O75493
TRUE,ENSG00000069018,TRPC7,TRPC7,Q9HCX4
FALSE,ENSG00000069018,TRPC7,TRPC7,O94759
TRUE,ENSG00000069482,GAL,GAL,P22466
FALSE,ENSG00000069482,GAL,GAL,Q8N6F7
TRUE,ENSG00000072062,PRKACA,PRKACA,P17612
FALSE,ENSG00000072062,PRKACA,PRKACA,P17252
TRUE,ENSG00000082482,KCNK2,KCNK2,O95069
FALSE,ENSG00000082482,KCNK2,KCNK2,Q13303
TRUE,ENSG00000086730,LAT2,LAT2,Q9GZY6
FALSE,ENSG00000086730,LAT2,LAT2,Q9UHI5
TRUE,ENSG00000087460,GNAS,GNAS,Q5JWF2
FALSE,ENSG00000087460,GNAS,GNAS,P84996
FALSE,ENSG00000087460,GNAS,GNAS,P63092
FALSE,ENSG00000087460,GNAS,GNAS,O95467
TRUE,ENSG00000099250,NRP1,NRP1,O14786
FALSE,ENSG00000099250,NRP1,NRP1,Q92832
FALSE,ENSG00000101307,SIRPB1,SIRPB1,Q5TFQ8
TRUE,ENSG00000101307,SIRPB1,SIRPB1,O00241
TRUE,ENSG00000104290,FZD3,FZD3,Q9NPG1
FALSE,ENSG00000104290,FZD3,FZD3,O00144
TRUE,ENSG00000110680,CALCA,CALCA,P01258
FALSE,ENSG00000110680,CALCA,CALCA,P06881
FALSE,ENSG00000111215,PRR4,PRR4,Q96NY8
TRUE,ENSG00000111215,PRR4,PRR4,Q16378
FALSE,ENSG00000112486,CCR6,CCR6,O00421
TRUE,ENSG00000112486,CCR6,CCR6,P51684
FALSE,ENSG00000114948,ADAM23,ADAM23,Q9UKQ2
TRUE,ENSG00000114948,ADAM23,ADAM23,O75077
TRUE,ENSG00000116678,LEPR,LEPR,P48357
FALSE,ENSG00000116678,LEPR,LEPR,O15243
TRUE,ENSG00000118257,NRP2,NRP2,O60462
FALSE,ENSG00000118257,NRP2,NRP2,Q99435
TRUE,ENSG00000118762,PKD2,PKD2,Q13563
FALSE,ENSG00000118762,PKD2,PKD2,Q9BZL6
FALSE,ENSG00000120054,CPN1,CPN1,Q99829
TRUE,ENSG00000120054,CPN1,CPN1,P15169
FALSE,ENSG00000120907,ADRA1A,ADRA1A,P25100
TRUE,ENSG00000120907,ADRA1A,ADRA1A,P35348
FALSE,ENSG00000125384,PTGER2,PTGER2,P35408
TRUE,ENSG00000125384,PTGER2,PTGER2,P43116
TRUE,ENSG00000134762,DSC3,DSC3,Q14574
FALSE,ENSG00000134762,DSC3,DSC3,Q02487
FALSE,ENSG00000136999,NOV,NOV,Q9UIW2
TRUE,ENSG00000136999,NOV,NOV,P48745
FALSE,ENSG00000137078,SIT1,SIT1,Q9NP91
TRUE,ENSG00000137078,SIT1,SIT1,Q9Y3P8
TRUE,ENSG00000137674,MMP20,MMP20,O60882
FALSE,ENSG00000137674,MMP20,MMP20,Q9NPA2
FALSE,ENSG00000139304,PTPRQ,PTPRQ,Q15256
TRUE,ENSG00000139304,PTPRQ,PTPRQ,Q9UMZ3
TRUE,ENSG00000142515,KLK3,KLK3,P07288
FALSE,ENSG00000142515,KLK3,KLK3,P03952
FALSE,ENSG00000145741,BTF3,BTF3,O00478
FALSE,ENSG00000145741,BTF3,BTF3,P78410
FALSE,ENSG00000147044,CASK,CASK,P07498
TRUE,ENSG00000147044,CASK,CASK,O14936
TRUE,ENSG00000149269,PAK1,PAK1,Q13153
FALSE,ENSG00000149269,PAK1,PAK1,Q16512
TRUE,ENSG00000149557,FEZ1,FEZ1,Q99689
FALSE,ENSG00000149557,FEZ1,FEZ1,Q9Y250
TRUE,ENSG00000157087,ATP2B2,ATP2B2,Q01814
FALSE,ENSG00000157087,ATP2B2,ATP2B2,P23634
FALSE,ENSG00000162891,IL20,IL20,Q9UHF5
TRUE,ENSG00000162891,IL20,IL20,Q9NYY1
FALSE,ENSG00000164418,GRIK2,GRIK2,Q16478
TRUE,ENSG00000164418,GRIK2,GRIK2,Q13002
FALSE,ENSG00000165970,SLC6A5,SLC6A5,P23975
TRUE,ENSG00000165970,SLC6A5,SLC6A5,Q9Y345
TRUE,ENSG00000166090,IL25,IL25,Q9H293
FALSE,ENSG00000166090,IL25,IL25,Q969H8
FALSE,ENSG00000167414,GNG8,GNG8,O14610
TRUE,ENSG00000167414,GNG8,GNG8,Q9UK08
TRUE,ENSG00000168056,LTBP3,LTBP3,Q9NS15
FALSE,ENSG00000168056,LTBP3,LTBP3,Q14767
FALSE,ENSG00000170382,LRRN2,LRRN2,O43300
TRUE,ENSG00000170382,LRRN2,LRRN2,O75325
FALSE,ENSG00000170482,SLC23A1,SLC23A1,Q9UHI7
FALSE,ENSG00000170482,SLC23A1,SLC23A1,Q9UGH3
FALSE,ENSG00000171428,NAT1,NAT1,P23975
FALSE,ENSG00000171428,NAT1,NAT1,Q8IZM9
FALSE,ENSG00000171428,NAT1,NAT1,Q99624
FALSE,ENSG00000172005,MAL,MAL,P58753
FALSE,ENSG00000172005,MAL,MAL,P01732
TRUE,ENSG00000172037,LAMB2,LAMB2,P55268
FALSE,ENSG00000172037,LAMB2,LAMB2,P11047
FALSE,ENSG00000173848,NET1,NET1,P23975
FALSE,ENSG00000173848,NET1,NET1,Q9Y345
TRUE,ENSG00000174175,SELP,SELP,P16109
FALSE,ENSG00000174175,SELP,SELP,P49908
FALSE,ENSG00000179915,NRXN1,NRXN1,P58400
TRUE,ENSG00000179915,NRXN1,NRXN1,Q9ULB1
FALSE,ENSG00000182963,GJC1,GJC1,Q8N144
TRUE,ENSG00000182963,GJC1,GJC1,P36383
FALSE,ENSG00000183798,EMILIN3,EMILIN3,Q9H8L6
TRUE,ENSG00000183798,EMILIN3,EMILIN3,Q9NT22
FALSE,ENSG00000184451,CCR10,CCR10,O00590
TRUE,ENSG00000184451,CCR10,CCR10,P46092
TRUE,ENSG00000186652,PRG2,PRG2,P13727
FALSE,ENSG00000186652,PRG2,PRG2,Q92626
FALSE,ENSG00000186792,HYAL3,HYAL3,P38567
TRUE,ENSG00000186792,HYAL3,HYAL3,O43820
FALSE,ENSG00000196209,SIRPB2,SIRPB2,Q9P1W8
TRUE,ENSG00000196209,SIRPB2,SIRPB2,Q5JXA9
TRUE,ENSG00000197324,LRP10,LRP10,Q7Z4F1
FALSE,ENSG00000197324,LRP10,LRP10,O75096
FALSE,ENSG00000197696,NMB,NMB,Q14956
TRUE,ENSG00000197696,NMB,NMB,P08949
FALSE,ENSG00000197746,PSAP,PSAP,Q8IWL2
FALSE,ENSG00000197746,PSAP,PSAP,Q8IWL1
TRUE,ENSG00000197746,PSAP,PSAP,P07602
FALSE,ENSG00000197971,MBP,MBP,P13727
TRUE,ENSG00000197971,MBP,MBP,P02686
FALSE,ENSG00000198704,GPX6,GPX6,Q96SL4
TRUE,ENSG00000198704,GPX6,GPX6,P59796
FALSE,ENSG00000204632,HLA-G,HLA-G,P17693
TRUE,ENSG00000204632,HLAG_HUMAN,,P17693
TRUE,ENSG00000206402,LY6G6D,LY6G6D,O95868
FALSE,ENSG00000206402,LY6G6D,LY6G6D,Q5SQ64
FALSE,ENSG00000225993,LY6G6D,LY6G6D,Q5SQ64
TRUE,ENSG00000225993,LY6G6D,LY6G6D,O95868
TRUE,ENSG00000226603,LY6G6D,LY6G6D,O95868
FALSE,ENSG00000226603,LY6G6D,LY6G6D,Q5SQ64
TRUE,ENSG00000234443,LY6G6D,LY6G6D,O95868
FALSE,ENSG00000234443,LY6G6D,LY6G6D,Q5SQ64
TRUE,ENSG00000235302,LY6G6D,LY6G6D,O95868
FALSE,ENSG00000235302,LY6G6D,LY6G6D,Q5SQ64
FALSE,ENSG00000236902,LY6G6D,LY6G6D,Q5SQ64
TRUE,ENSG00000236902,LY6G6D,LY6G6D,O95868
FALSE,ENSG00000240972,MIF,MIF,P03971
TRUE,ENSG00000240972,MIF,MIF,P14174
TRUE,ENSG00000244355,LY6G6D,LY6G6D,O95868
FALSE,ENSG00000244355,LY6G6D,LY6G6D,Q5SQ64
FALSE,ENSG00000263247,PRR4,PRR4,Q96NY8
TRUE,ENSG00000263247,PRR4,PRR4,Q16378
FALSE,ENSG00000274933,TBC1D3I,TBC1D3I,A6NDS4
TRUE,ENSG00000274933,TBC1D3I,TBC1D3I,A0A087WXS9
FALSE,ENSG00000275861,TBC1D3I,TBC1D3I,A6NDS4
TRUE,ENSG00000275861,TBC1D3I,TBC1D3I,A0A087WXS9
TRUE,ENSG00000276701,MIF,MIF,P14174
FALSE,ENSG00000276701,MIF,MIF,P03971
FALSE,ENSG00000281185,GPX6,GPX6,P59796
FALSE,ENSG00000281185,GPX6,GPX6,Q96SL4
FALSE,ENSG00000282144,TBC1D3I,TBC1D3I,A6NDS4
TRUE,ENSG00000282144,TBC1D3I,TBC1D3I,A0A087WXS9
FALSE,ENSG00000282269,PRR4,PRR4,Q96NY8
TRUE,ENSG00000282269,PRR4,PRR4,Q16378
FALSE,ENSG00000204592,HLA-E,HLA-E,P13747
TRUE,ENSG00000204592,HLAE_HUMAN,,P13747
FALSE,ENSG00000197471,SPN,SPN,O75398
TRUE,ENSG00000197471,SPN,SPN,P16150
